vehicle_id,field,value_status,source_name,source_url,effective_date,units,notes
epa-49044,purchase_price_usd,Derived,Hedonic price model on curated manufacturer MSRPs,,2025-09-16,USD,"80% interval $29,256-$49,593"
epa-49044,annual_depreciation_rate,Derived,AAA Your Driving Costs 2025,https://newsroom.aaa.com/wp-content/uploads/2025/09/AAA-Brochure-Your-Driving-Cost-9.2025.pdf,2025-09-16,fraction per year,Category average scaled by vehicle price; not specific to this model.
epa-49044,annual_maintenance_usd,Derived,AAA Your Driving Costs 2025,https://newsroom.aaa.com/wp-content/uploads/2025/09/AAA-Brochure-Your-Driving-Cost-9.2025.pdf,2025-09-16,"USD per year at 15,000 mi/yr","Stated at 15,000 mi/yr; half is rescaled to the annual mileage in use. Category average, not specific to this model."
epa-49044,annual_insurance_usd,Derived,AAA Your Driving Costs 2025,https://newsroom.aaa.com/wp-content/uploads/2025/09/AAA-Brochure-Your-Driving-Cost-9.2025.pdf,2025-09-16,USD per year,Category average scaled by vehicle price; not specific to this model.
epa-49044,annual_registration_fees_usd,Derived,AAA Your Driving Costs 2025,https://newsroom.aaa.com/wp-content/uploads/2025/09/AAA-Brochure-Your-Driving-Cost-9.2025.pdf,2025-09-16,USD per year,Category average scaled by vehicle price; not specific to this model.
epa-49045,purchase_price_usd,Derived,Hedonic price model on curated manufacturer MSRPs,,2025-09-16,USD,"80% interval $25,670-$43,515"
epa-49045,annual_depreciation_rate,Derived,AAA Your Driving Costs 2025,https://newsroom.aaa.com/wp-content/uploads/2025/09/AAA-Brochure-Your-Driving-Cost-9.2025.pdf,2025-09-16,fraction per year,Category average scaled by vehicle price; not specific to this model.
epa-49045,annual_maintenance_usd,Derived,AAA Your Driving Costs 2025,https://newsroom.aaa.com/wp-content/uploads/2025/09/AAA-Brochure-Your-Driving-Cost-9.2025.pdf,2025-09-16,"USD per year at 15,000 mi/yr","Stated at 15,000 mi/yr; half is rescaled to the annual mileage in use. Category average, not specific to this model."
epa-49045,annual_insurance_usd,Derived,AAA Your Driving Costs 2025,https://newsroom.aaa.com/wp-content/uploads/2025/09/AAA-Brochure-Your-Driving-Cost-9.2025.pdf,2025-09-16,USD per year,Category average scaled by vehicle price; not specific to this model.
epa-49045,annual_registration_fees_usd,Derived,AAA Your Driving Costs 2025,https://newsroom.aaa.com/wp-content/uploads/2025/09/AAA-Brochure-Your-Driving-Cost-9.2025.pdf,2025-09-16,USD per year,Category average scaled by vehicle price; not specific to this model.
epa-47938,purchase_price_usd,Derived,Hedonic price model on curated manufacturer MSRPs,,2025-09-16,USD,"80% interval $30,527-$54,421"
epa-47938,annual_depreciation_rate,Derived,AAA Your Driving Costs 2025,https://newsroom.aaa.com/wp-content/uploads/2025/09/AAA-Brochure-Your-Driving-Cost-9.2025.pdf,2025-09-16,fraction per year,Category average scaled by vehicle price; not specific to this model.
epa-47938,annual_maintenance_usd,Derived,AAA Your Driving Costs 2025,https://newsroom.aaa.com/wp-content/uploads/2025/09/AAA-Brochure-Your-Driving-Cost-9.2025.pdf,2025-09-16,"USD per year at 15,000 mi/yr","Stated at 15,000 mi/yr; half is rescaled to the annual mileage in use. Category average, not specific to this model."
epa-47938,annual_insurance_usd,Derived,AAA Your Driving Costs 2025,https://newsroom.aaa.com/wp-content/uploads/2025/09/AAA-Brochure-Your-Driving-Cost-9.2025.pdf,2025-09-16,USD per year,Category average scaled by vehicle price; not specific to this model.
epa-47938,annual_registration_fees_usd,Derived,AAA Your Driving Costs 2025,https://newsroom.aaa.com/wp-content/uploads/2025/09/AAA-Brochure-Your-Driving-Cost-9.2025.pdf,2025-09-16,USD per year,Category average scaled by vehicle price; not specific to this model.
epa-48070,purchase_price_usd,Derived,Hedonic price model on curated manufacturer MSRPs,,2025-09-16,USD,"80% interval $44,402-$71,020"
epa-48070,annual_depreciation_rate,Derived,AAA Your Driving Costs 2025,https://newsroom.aaa.com/wp-content/uploads/2025/09/AAA-Brochure-Your-Driving-Cost-9.2025.pdf,2025-09-16,fraction per year,Category average scaled by vehicle price; not specific to this model.
epa-48070,annual_maintenance_usd,Derived,AAA Your Driving Costs 2025,https://newsroom.aaa.com/wp-content/uploads/2025/09/AAA-Brochure-Your-Driving-Cost-9.2025.pdf,2025-09-16,"USD per year at 15,000 mi/yr","Stated at 15,000 mi/yr; half is rescaled to the annual mileage in use. Category average, not specific to this model."
epa-48070,annual_insurance_usd,Derived,AAA Your Driving Costs 2025,https://newsroom.aaa.com/wp-content/uploads/2025/09/AAA-Brochure-Your-Driving-Cost-9.2025.pdf,2025-09-16,USD per year,Category average scaled by vehicle price; not specific to this model.
epa-48070,annual_registration_fees_usd,Derived,AAA Your Driving Costs 2025,https://newsroom.aaa.com/wp-content/uploads/2025/09/AAA-Brochure-Your-Driving-Cost-9.2025.pdf,2025-09-16,USD per year,Category average scaled by vehicle price; not specific to this model.
epa-48055,purchase_price_usd,Derived,Hedonic price model on curated manufacturer MSRPs,,2025-09-16,USD,"80% interval $38,876-$62,181"
epa-48055,annual_depreciation_rate,Derived,AAA Your Driving Costs 2025,https://newsroom.aaa.com/wp-content/uploads/2025/09/AAA-Brochure-Your-Driving-Cost-9.2025.pdf,2025-09-16,fraction per year,Category average scaled by vehicle price; not specific to this model.
epa-48055,annual_maintenance_usd,Derived,AAA Your Driving Costs 2025,https://newsroom.aaa.com/wp-content/uploads/2025/09/AAA-Brochure-Your-Driving-Cost-9.2025.pdf,2025-09-16,"USD per year at 15,000 mi/yr","Stated at 15,000 mi/yr; half is rescaled to the annual mileage in use. Category average, not specific to this model."
epa-48055,annual_insurance_usd,Derived,AAA Your Driving Costs 2025,https://newsroom.aaa.com/wp-content/uploads/2025/09/AAA-Brochure-Your-Driving-Cost-9.2025.pdf,2025-09-16,USD per year,Category average scaled by vehicle price; not specific to this model.
