zip_code,primary_state,states,state_count
00601,PR,PR,1
00602,PR,PR,1
00603,PR,PR,1
00606,PR,PR,1
00610,PR,PR,1
00611,PR,PR,1
00612,PR,PR,1
00616,PR,PR,1
00617,PR,PR,1
00622,PR,PR,1
00623,PR,PR,1
00624,PR,PR,1
00627,PR,PR,1
00631,PR,PR,1
00636,PR,PR,1
00637,PR,PR,1
00638,PR,PR,1
00641,PR,PR,1
00646,PR,PR,1
00647,PR,PR,1
00650,PR,PR,1
00652,PR,PR,1
00653,PR,PR,1
00656,PR,PR,1
00659,PR,PR,1
00660,PR,PR,1
00662,PR,PR,1
00664,PR,PR,1
00667,PR,PR,1
00669,PR,PR,1
00670,PR,PR,1
00674,PR,PR,1
00676,PR,PR,1
00677,PR,PR,1
00678,PR,PR,1
00680,PR,PR,1
00682,PR,PR,1
00683,PR,PR,1
00685,PR,PR,1
00687,PR,PR,1
00688,PR,PR,1
00690,PR,PR,1
00692,PR,PR,1
00693,PR,PR,1
00694,PR,PR,1
00698,PR,PR,1
00703,PR,PR,1
00704,PR,PR,1
00705,PR,PR,1
00707,PR,PR,1
00714,PR,PR,1
00715,PR,PR,1
00716,PR,PR,1
00717,PR,PR,1
00718,PR,PR,1
00719,PR,PR,1
00720,PR,PR,1
00723,PR,PR,1
00725,PR,PR,1
00727,PR,PR,1
00728,PR,PR,1
00729,PR,PR,1
00730,PR,PR,1
00731,PR,PR,1
00735,PR,PR,1
00736,PR,PR,1
00738,PR,PR,1
00739,PR,PR,1
00740,PR,PR,1
00741,PR,PR,1
00745,PR,PR,1
00751,PR,PR,1
00754,PR,PR,1
00757,PR,PR,1
00765,PR,PR,1
00766,PR,PR,1
00767,PR,PR,1
00769,PR,PR,1
00771,PR,PR,1
00772,PR,PR,1
00773,PR,PR,1
00775,PR,PR,1
00777,PR,PR,1
00778,PR,PR,1
00780,PR,PR,1
00782,PR,PR,1
00783,PR,PR,1
00784,PR,PR,1
00786,PR,PR,1
00791,PR,PR,1
00794,PR,PR,1
00795,PR,PR,1
00802,VI,VI,1
00820,VI,VI,1
00830,VI,VI,1
00840,VI,VI,1
00850,VI,VI,1
00851,VI,VI,1
00901,PR,PR,1
00906,PR,PR,1
00907,PR,PR,1
00909,PR,PR,1
00911,PR,PR,1
00912,PR,PR,1
00913,PR,PR,1
00915,PR,PR,1
00917,PR,PR,1
00918,PR,PR,1
00920,PR,PR,1
00921,PR,PR,1
00923,PR,PR,1
00924,PR,PR,1
00925,PR,PR,1
00926,PR,PR,1
00927,PR,PR,1
00934,PR,PR,1
00949,PR,PR,1
00950,PR,PR,1
00951,PR,PR,1
00952,PR,PR,1
00953,PR,PR,1
00956,PR,PR,1
00957,PR,PR,1
00959,PR,PR,1
00960,PR,PR,1
00961,PR,PR,1
00962,PR,PR,1
00965,PR,PR,1
00966,PR,PR,1
00968,PR,PR,1
00969,PR,PR,1
00971,PR,PR,1
00976,PR,PR,1
00979,PR,PR,1
00982,PR,PR,1
00983,PR,PR,1
00985,PR,PR,1
00987,PR,PR,1
01001,MA,MA,1
01002,MA,MA,1
01003,MA,MA,1
01005,MA,MA,1
01007,MA,MA,1
01008,MA,MA,1
01009,MA,MA,1
01010,MA,MA,1
01011,MA,MA,1
01012,MA,MA,1
01013,MA,MA,1
01020,MA,MA,1
01022,MA,MA,1
01026,MA,MA,1
01027,MA,MA,1
01028,MA,MA,1
01029,MA,MA,1
01030,MA,MA,1
01031,MA,MA,1
01032,MA,MA,1
01033,MA,MA,1
01034,MA,MA,1
01035,MA,MA,1
01036,MA,MA,1
01037,MA,MA,1
01038,MA,MA,1
01039,MA,MA,1
01040,MA,MA,1
01050,MA,MA,1
01053,MA,MA,1
01054,MA,MA,1
01056,MA,MA,1
01057,MA,MA,1
01060,MA,MA,1
01062,MA,MA,1
01063,MA,MA,1
01066,MA,MA,1
01068,MA,MA,1
01069,MA,MA,1
01070,MA,MA,1
01071,MA,MA,1
01072,MA,MA,1
01073,MA,MA,1
01074,MA,MA,1
01075,MA,MA,1
01077,MA,MA,1
01079,MA,MA,1
01080,MA,MA,1
01081,MA,MA,1
01082,MA,MA,1
01083,MA,MA,1
01084,MA,MA,1
01085,MA,MA,1
01088,MA,MA,1
01089,MA,MA,1
01092,MA,MA,1
01093,MA,MA,1
01094,MA,MA,1
01095,MA,MA,1
01096,MA,MA,1
01097,MA,MA,1
01098,MA,MA,1
01103,MA,MA,1
01104,MA,MA,1
01105,MA,MA,1
01106,MA,MA,1
01107,MA,MA,1
01108,MA,MA,1
01109,MA,MA,1
01118,MA,MA,1
01119,MA,MA,1
01128,MA,MA,1
01129,MA,MA,1
01144,MA,MA,1
01151,MA,MA,1
01201,MA,MA,1
01220,MA,MA,1
01222,MA,MA,1
01223,MA,MA,1
01224,MA,MA,1
01225,MA,MA,1
01226,MA,MA,1
01229,MA,MA,1
01230,MA,MA,1
01235,MA,MA,1
01236,MA,MA,1
01237,MA,MA,1
01238,MA,MA,1
01240,MA,MA,1
01242,MA,MA,1
01243,MA,MA,1
01244,MA,MA,1
01245,MA,MA,1
01247,MA,MA,1
01253,MA,MA,1
01254,MA,MA,1
01255,MA,MA,1
01256,MA,MA,1
01257,MA,MA,1
01258,MA,MA,1
01259,MA,MA,1
01260,MA,MA,1
01262,MA,MA,1
01264,MA,MA,1
01266,MA,MA,1
01267,MA,MA,1
01270,MA,MA,1
01301,MA,MA,1
01330,MA,MA,1
01331,MA,MA,1
01337,MA,MA,1
01338,MA,MA,1
01339,MA,MA,1
01340,MA,MA,1
01341,MA,MA,1
01342,MA,MA,1
01343,MA,MA,1
01344,MA,MA,1
01346,MA,MA,1
01347,MA,MA,1
01349,MA,MA,1
01350,MA,MA,1
01351,MA,MA,1
01354,MA,MA,1
01355,MA,MA,1
01360,MA,MA,1
01364,MA,MA,1
01366,MA,MA,1
01367,MA,MA,1
01368,MA,MA,1
01370,MA,MA,1
01373,MA,MA,1
01375,MA,MA,1
01376,MA,MA,1
01378,MA,MA,1
01379,MA,MA,1
01380,MA,MA,1
01420,MA,MA,1
01430,MA,MA,1
01431,MA,MA,1
01432,MA,MA,1
01434,MA,MA,1
01436,MA,MA,1
01438,MA,MA,1
01440,MA,MA,1
01450,MA,MA,1
01451,MA,MA,1
01452,MA,MA,1
01453,MA,MA,1
01460,MA,MA,1
01462,MA,MA,1
01463,MA,MA,1
01464,MA,MA,1
01468,MA,MA,1
01469,MA,MA,1
01473,MA,MA,1
01474,MA,MA,1
01475,MA,MA,1
01501,MA,MA,1
01503,MA,MA,1
01504,MA,MA,1
01505,MA,MA,1
01506,MA,MA,1
01507,MA,MA,1
01510,MA,MA,1
01515,MA,MA,1
01516,MA,MA,1
01518,MA,MA,1
01519,MA,MA,1
01520,MA,MA,1
01521,MA,MA,1
01522,MA,MA,1
01523,MA,MA,1
01524,MA,MA,1
01525,MA,MA,1
01527,MA,MA,1
01529,MA,MA,1
01531,MA,MA,1
01532,MA,MA,1
01534,MA,MA,1
01535,MA,MA,1
01536,MA,MA,1
01537,MA,MA,1
01540,MA,MA,1
01541,MA,MA,1
01542,MA,MA,1
01543,MA,MA,1
01545,MA,MA,1
01550,MA,MA,1
01560,MA,MA,1
01561,MA,MA,1
01562,MA,MA,1
01564,MA,MA,1
01566,MA,MA,1
01568,MA,MA,1
01569,MA,MA,1
01570,MA,MA,1
01571,MA,MA,1
01581,MA,MA,1
01583,MA,MA,1
01585,MA,MA,1
01588,MA,MA,1
01590,MA,MA,1
01602,MA,MA,1
01603,MA,MA,1
01604,MA,MA,1
01605,MA,MA,1
01606,MA,MA,1
01607,MA,MA,1
01608,MA,MA,1
01609,MA,MA,1
01610,MA,MA,1
01611,MA,MA,1
01612,MA,MA,1
01701,MA,MA,1
01702,MA,MA,1
01718,MA,MA,1
01719,MA,MA,1
01720,MA,MA,1
01721,MA,MA,1
01730,MA,MA,1
01731,MA,MA,1
01740,MA,MA,1
01741,MA,MA,1
01742,MA,MA,1
01745,MA,MA,1
01746,MA,MA,1
01747,MA,MA,1
01748,MA,MA,1
01749,MA,MA,1
01752,MA,MA,1
01754,MA,MA,1
01756,MA,MA,1
01757,MA,MA,1
01760,MA,MA,1
01770,MA,MA,1
01772,MA,MA,1
01773,MA,MA,1
01775,MA,MA,1
01776,MA,MA,1
01778,MA,MA,1
01801,MA,MA,1
01803,MA,MA,1
01810,MA,MA,1
01821,MA,MA,1
01824,MA,MA,1
01826,MA,MA,1
01827,MA,MA,1
01830,MA,MA,1
01832,MA,MA,1
01833,MA,MA,1
01834,MA,MA,1
01835,MA,MA,1
01840,MA,MA,1
01841,MA,MA,1
01843,MA,MA,1
01844,MA,MA,1
01845,MA,MA,1
01850,MA,MA,1
01851,MA,MA,1
01852,MA,MA,1
01854,MA,MA,1
01860,MA,MA,1
01862,MA,MA,1
01863,MA,MA,1
01864,MA,MA,1
01867,MA,MA,1
01876,MA,MA,1
01879,MA,MA,1
01880,MA,MA,1
01886,MA,MA,1
01887,MA,MA,1
01890,MA,MA,1
01901,MA,MA,1
01902,MA,MA,1
01904,MA,MA,1
01905,MA,MA,1
01906,MA,MA,1
01907,MA,MA,1
01908,MA,MA,1
01913,MA,MA,1
01915,MA,MA,1
01921,MA,MA,1
01922,MA,MA,1
01923,MA,MA,1
01929,MA,MA,1
01930,MA,MA,1
01937,MA,MA,1
01938,MA,MA,1
01940,MA,MA,1
01944,MA,MA,1
01945,MA,MA,1
01949,MA,MA,1
01950,MA,MA,1
01951,MA,MA,1
01952,MA,MA,1
01960,MA,MA,1
01965,MA,MA,1
01966,MA,MA,1
01969,MA,MA,1
01970,MA,MA,1
01982,MA,MA,1
01983,MA,MA,1
01984,MA,MA,1
01985,MA,MA,1
02019,MA,MA,1
02021,MA,MA,1
